Year,Film
2010,The Social Network
2010,The Town
2010,Toy Story 3
2010,127 Hours
2010,True Grit
2010,Winter's Bone
2011,Moneyball
2011,Hugo
2011,The Descendants
2011,Extremely Loud & Incredibly Close
2011,The Help
2012,Lincoln
2012,The Perks of Being a Wallflower
2012,Life of Pi
2012,Silver Linings Playbook
2012,Argo
2013,12 Years a Slave
2013,Philomena
2013,August: Osage County
2013,Before Midnight
2013,Captain Phillips
2013,The Wolf of Wall Street
2014,Gone Girl
2014,Inherent Vice
2014,Unbroken
2014,Wild
2014,The Theory of Everything
2014,The Imitation Game
2015,The Big Short
2015,Room
2015,The Martian
2015,Brooklyn
2015,Steve Jobs
2016,Arrival
2016,Lion
2016,Nocturnal Animals
2016,Sully
2016,Hidden Figures
2016,Fences
2017,Call Me by Your Name
2017,The Disaster Artist
2017,Mudbound
2017,Molly's Game
2017,Wonder
2018,If Beale Street Could Talk
2018,Black Panther
2018,Can You Ever Forgive Me?
2018,A Star Is Born
2018,First Man
2018,BlacKkKlansman
2019,Little Women
2019,A Beautiful Day in the Neighborhood
2019,The Two Popes
2019,Joker
2019,Jojo Rabbit
2019,The Irishman
2020,Nomadland
2020,News of the World
2020,One Night in Miami
2020,First Cow
2020,Ma Rainey's Black Bottom
2020,The Father
