Year,Film
2010,The Social Network
2010,127 Hours
2010,I Love You Phillip Morris
2010,The Town
2010,True Grit
2011,The Descendants
2011,The Girl with the Dragon Tattoo
2011,The Help
2011,Hugo
2011,Moneyball
2012,Argo
2012,Life of Pi
2012,Lincoln
2012,The Perks of Being a Wallflower
2012,Silver Linings Playbook
2013,Captain Phillips
2013,August: Osage County
2013,Before Midnight
2013,Lone Survivor
2013,The Wolf of Wall Street
2014,The Imitation Game
2014,American Sniper
2014,Gone Girl
2014,Guardians of the Galaxy
2014,Wild
2015,The Big Short
2015,Carol
2015,The Martian
2015,Steve Jobs
2015,Trumbo
2016,Arrival
2016,Deadpool
2016,Fences
2016,Hidden Figures
2016,Nocturnal Animals
2017,Call Me by Your Name
2017,The Disaster Artist
2017,Logan
2017,Molly's Game
2017,Mudbound
2018,Can You Ever Forgive Me?
2018,Black Panther
2018,BlacKkKlansman
2018,If Beale Street Could Talk
2018,A Star Is Born
2019,Jojo Rabbit
2019,A Beautiful Day in the Neighborhood
2019,The Irishman
2019,Joker
2019,Little Women
