Year,Film
2010,Toy Story 3
2010,How to Train Your Dragon
2010,The Illusionist
2011,Rango
2011,A Cat in Paris
2011,Chico & Rita
2011,Kung Fu Panda 2
2011,Puss in Boots
2012,Brave
2012,Frankenweenie
2012,ParaNorman
2012,The Pirates! In an Adventure with Scientists!
2012,Wreck-It Ralph
2013,Frozen
2013,The Croods
2013,Despicable Me 2
2013,Ernest & Celestine
2013,The Wind Rises
2014,Big Hero 6
2014,The Boxtrolls
2014,How to Train Your Dragon 2
2014,Song of the Sea
2014,The Tale of the Princess Kaguya
2015,Inside Out
2015,Anomalisa
2015,Boy and the World
2015,Shaun the Sheep Movie
2015,When Marnie Was There
2016,Zootopia
2016,Kubo and the Two Strings
2016,Moana
2016,My Life as a Courgette
2016,The Red Turtle
2017,Coco
2017,The Boss Baby
2017,The Breadwinner
2017,Ferdinand
2017,Loving Vincent
2018,Spider-Man: Into the Spider-Verse
2018,Incredibles 2
2018,Isle of Dogs
2018,Mirai
2018,Ralph Breaks the Internet
2019,Toy Story 4
2019,How to Train Your Dragon: The Hidden World
2019,I Lost My Body
2019,Klaus
2019,Missing Link
