Year,Film
2010,Inception
2010,127 Hours
2010,Black Swan
2010,The Social Network
2011,The Girl with the Dragon Tattoo
2011,The Artist
2011,Drive
2011,Hugo
2011,War Horse
2012,Zero Dark Thirty
2012,Argo
2012,Les Misérables
2012,Life of Pi
2012,Lincoln
2013,Gravity
2013,12 Years a Slave
2013,American Hustle
2013,Captain Phillips
2013,Rush
2013,The Wolf of Wall Street
2014,Birdman or (The Unexpected Virtue of Ignorance)
2014,Boyhood
2014,Gone Girl
2014,Interstellar
2014,Whiplash
2015,Mad Max: Fury Road
2015,The Big Short
2015,The Martian
2015,The Revenant
2015,Spotlight
2016,La La Land
2016,Arrival
2016,Hacksaw Ridge
2016,Moonlight
2016,Sully
2017,Baby Driver
2017,Dunkirk
2017,Blade Runner 2049
2017,The Post
2017,The Shape of Water
2018,First Man
2018,The Favourite
2018,Roma
2018,A Star Is Born
2018,Vice
2018,Widows
2019,1917
2019,Ford v Ferrari
2019,The Irishman
2019,Once Upon a Time in Hollywood
2019,Parasite
2019,Uncut Gems
