Year,Film
2010,In a Better World
2010,Biutiful
2010,The Concert
2010,The Edge
2010,I Am Love
2011,A Separation
2011,In the Land of Blood and Honey
2011,The Flowers of War
2011,The Kid with a Bike
2011,The Skin I Live In
2012,Amour
2012,A Royal Affair
2012,The Intouchables
2012,Rust and Bone
2012,Kon-Tiki
2013,The Great Beauty
2013,Blue Is the Warmest Colour
2013,The Hunt
2013,The Past
2013,The Wind Rises
2014,Leviathan
2014,Ida
2014,Tangerines
2014,Force Majeure
2014,Gett: The Trial of Viviane Amsalem
2015,Son of Saul
2015,The Brand New Testament
2015,The Club
2015,The Fencer
2015,Mustang
2016,Elle
2016,Divines
2016,Neruda
2016,The Salesman
2016,Toni Erdmann
2017,In the Fade
2017,A Fantastic Woman
2017,First They Killed My Father
2017,Loveless
2017,The Square
2018,Roma
2018,Capernaum
2018,Girl
2018,Never Look Away
2018,Shoplifters
2019,Parasite
2019,The Farewell
2019,Les Misérables
2019,Pain and Glory
2019,Portrait of a Lady on Fire
