Year,Film
2010,In a Better World
2010,Biutiful
2010,Dogtooth
2010,Incendies
2010,Outside the Law
2011,A Separation
2011,Bullhead
2011,Footnote
2011,In Darkness
2011,Monsieur Lazhar
2012,Amour
2012,Kon-Tiki
2012,No
2012,A Royal Affair
2012,War Witch
2013,The Great Beauty
2013,The Broken Circle Breakdown
2013,The Hunt
2013,The Missing Picture
2013,Omar
2014,Ida
2014,Leviathan
2014,Tangerines
2014,Timbuktu
2014,Wild Tales
2015,Son of Saul
2015,Embrace of the Serpent
2015,Mustang
2015,Theeb
2015,A War
2016,The Salesman
2016,Land of Mine
2016,A Man Called Ove
2016,Tanna
2016,Toni Erdmann
2017,A Fantastic Woman
2017,The Insult
2017,Loveless
2017,On Body and Soul
2017,The Square
2018,Roma
2018,Capernaum
2018,Cold War
2018,Never Look Away
2018,Shoplifters
2019,Parasite
2019,Corpus Christi
2019,Honeyland
2019,Les Misérables
2019,Pain and Glory
