Year,Actor,Film
2010,Natalie Portman,Black Swan
2010,Annette Bening,The Kids Are All Right
2010,Nicole Kidman,Rabbit Hole
2010,Jennifer Lawrence,Winter's Bone
2010,Hilary Swank,Conviction
2011,Viola Davis,The Help
2011,Glenn Close,Albert Nobbs
2011,Meryl Streep,The Iron Lady
2011,Tilda Swinton,We Need to Talk About Kevin
2011,Michelle Williams,My Week with Marilyn
2012,Jennifer Lawrence,Silver Linings Playbook
2012,Jessica Chastain,Zero Dark Thirty
2012,Marion Cotillard,Rust and Bone
2012,Helen Mirren,Hitchcock
2012,Naomi Watts,The Impossible
2013,Cate Blanchett,Blue Jasmine
2013,Sandra Bullock,Gravity
2013,Judi Dench,Philomena
2013,Meryl Streep,August: Osage County
2013,Emma Thompson,Saving Mr. Banks
2014,Julianne Moore,Still Alice
2014,Jennifer Aniston,Cake
2014,Felicity Jones,The Theory of Everything
2014,Rosamund Pike,Gone Girl
2014,Reese Witherspoon,Wild
2015,Brie Larson,Room
2015,Cate Blanchett,Carol
2015,Helen Mirren,Woman in Gold
2015,Saoirse Ronan,Brooklyn
2015,Sarah Silverman,I Smile Back
2016,Emma Stone,La La Land
2016,Amy Adams,Arrival
2016,Emily Blunt,The Girl on the Train
2016,Natalie Portman,Jackie
2016,Meryl Streep,Florence Foster Jenkins
2017,Frances McDormand,"Three Billboards Outside Ebbing, Missouri"
2017,Judi Dench,Victoria & Abdul
2017,Sally Hawkins,The Shape of Water
2017,Margot Robbie,"I, Tonya"
2017,Saoirse Ronan,Lady Bird
2018,Glenn Close,The Wife
2018,Emily Blunt,Mary Poppins Returns
2018,Olivia Colman,The Favourite
2018,Lady Gaga,A Star Is Born
2018,Melissa McCarthy,Can You Ever Forgive Me?
2019,Renée Zellweger,Judy
2019,Cynthia Erivo,Harriet
2019,Scarlett Johansson,Marriage Story
2019,Lupita Nyong'o,Us
2019,Charlize Theron,Bombshell
