Year,Film
2010,The Kids Are All Right
2010,Alice in Wonderland
2010,Burlesque
2010,Red
2010,The Tourist
2010,The Social Network
2010,Black Swan
2010,The Fighter
2010,Inception
2010,The King's Speech
2011,The Artist
2011,50/50
2011,Bridesmaids
2011,Midnight in Paris
2011,My Week with Marilyn
2011,The Descendants
2011,The Help
2011,Hugo
2011,The Ides of March
2011,Moneyball
2011,War Horse
2012,Les Misérables
2012,The Best Exotic Marigold Hotel
2012,Moonrise Kingdom
2012,Salmon Fishing in the Yemen
2012,Silver Linings Playbook
2012,Argo
2012,Django Unchained
2012,Life of Pi
2012,Lincoln
2012,Zero Dark Thirty
2013,American Hustle
2013,Her
2013,Inside Llewyn Davis
2013,Nebraska
2013,The Wolf of Wall Street
2013,12 Years a Slave
2013,Captain Phillips
2013,Gravity
2013,Philomena
2013,Rush
2014,The Grand Budapest Hotel
2014,Birdman or (The Unexpected Virtue of Ignorance)
2014,Into the Woods
2014,Pride
2014,St. Vincent
2014,Boyhood
2014,Foxcatcher
2014,The Imitation Game
2014,Selma
2014,The Theory of Everything
2015,The Martian
2015,The Big Short
2015,Joy
2015,Spy
2015,Trainwreck
2015,The Revenant
2015,Carol
2015,Mad Max: Fury Road
2015,Room
2015,Spotlight
2016,La La Land
2016,20th Century Women
2016,Deadpool
2016,Florence Foster Jenkins
2016,Sing Street
2016,Moonlight
2016,Hacksaw Ridge
2016,Hell or High Water
2016,Lion
2016,Manchester by the Sea
2017,Lady Bird
2017,The Disaster Artist
2017,Get Out
2017,The Greatest Showman
2017,"I, Tonya"
2017,"Three Billboards Outside Ebbing, Missouri"
2017,Call Me by Your Name
2017,Dunkirk
2017,The Post
2017,The Shape of Water
2018,Green Book
2018,Crazy Rich Asians
2018,The Favourite
2018,Mary Poppins Returns
2018,Vice
2018,Bohemian Rhapsody
2018,Black Panther
2018,BlacKkKlansman
2018,If Beale Street Could Talk
2018,A Star Is Born
2019,Once Upon a Time in Hollywood
2019,Dolemite Is My Name
2019,Jojo Rabbit
2019,Knives Out
2019,Rocketman
2019,1917
2019,The Irishman
2019,Joker
2019,Marriage Story
2019,The Two Popes
