Year,Actor,Film
2010,Melissa Leo,The Fighter
2010,Amy Adams,The Fighter
2010,Helena Bonham Carter,The King's Speech
2010,Mila Kunis,Black Swan
2010,Hailee Steinfeld,True Grit
2010,Jacki Weaver,Animal Kingdom
2011,Octavia Spencer,The Help
2011,Bérénice Bejo,The Artist
2011,Jessica Chastain,The Help
2011,Carey Mulligan,Shame
2011,Melissa McCarthy,Bridesmaids
2011,Shailene Woodley,The Descendants
2012,Anne Hathaway,Les Misérables
2012,Amy Adams,The Master
2012,Judi Dench,Skyfall
2012,Ann Dowd,Compliance
2012,Sally Field,Lincoln
2012,Helen Hunt,The Sessions
2013,Lupita Nyong'o,12 Years a Slave
2013,Scarlett Johansson,Her
2013,Jennifer Lawrence,American Hustle
2013,Julia Roberts,August: Osage County
2013,June Squibb,Nebraska
2013,Oprah Winfrey,The Butler
2014,Patricia Arquette,Boyhood
2014,Jessica Chastain,A Most Violent Year
2014,Keira Knightley,The Imitation Game
2014,Emma Stone,Birdman or (The Unexpected Virtue of Ignorance)
2014,Meryl Streep,Into the Woods
2014,Tilda Swinton,Snowpiercer
2015,Alicia Vikander,The Danish Girl
2015,Jennifer Jason Leigh,The Hateful Eight
2015,Rooney Mara,Carol
2015,Rachel McAdams,Spotlight
2015,Helen Mirren,Trumbo
2015,Kate Winslet,Steve Jobs
2016,Viola Davis,Fences
2016,Greta Gerwig,20th Century Women
2016,Naomie Harris,Moonlight
2016,Nicole Kidman,Lion
2016,Janelle Monáe,Hidden Figures
2016,Michelle Williams,Manchester by the Sea
2017,Allison Janney,"I, Tonya"
2017,Mary J. Blige,Mudbound
2017,Hong Chau,Downsizing
2017,Tiffany Haddish,Girls Trip
2017,Holly Hunter,The Big Sick
2017,Laurie Metcalf,Lady Bird
2017,Octavia Spencer,The Shape of Water
2018,Regina King,If Beale Street Could Talk
2018,Amy Adams,Vice
2018,Claire Foy,First Man
2018,Nicole Kidman,Boy Erased
2018,Emma Stone,The Favourite
2018,Rachel Weisz,The Favourite
2019,Laura Dern,Marriage Story
2019,Scarlett Johansson,Jojo Rabbit
2019,Jennifer Lopez,Hustlers
2019,Florence Pugh,Little Women
2019,Margot Robbie,Bombshell
2019,Zhao Shuzhen,The Farewell
