Year,Film
2010,Inception 
2010,Alice in Wonderland 
2010,Black Swan 
2010,Harry Potter and the Deathly Hallows - Part 1
2010,Toy Story 3 
2011,Harry Potter and the Deathly Hallows - Part 2
2011,The Adventures of Tintin: The Secret of the Unicorn 
2011,Hugo 
2011,Rise of the Planet of the Apes 
2011,War Horse 
2012,Life of Pi 
2012,The Avengers 
2012,The Dark Knight Rises 
2012,The Hobbit: An Unexpected Journey 
2012,Prometheus 
2013,Gravity 
2013,The Hobbit: The Desolation of Smaug 
2013,Iron Man 3 
2013,Pacific Rim 
2013,Star Trek Into Darkness 
2014,Interstellar 
2014,Dawn of the Planet of the Apes 
2014,Guardians of the Galaxy 
2014,The Hobbit: The Battle of the Five Armies 
2014,X-Men: Days of Future Past 
2015,Star Wars: The Force Awakens 
2015,Ant-Man 
2015,Ex Machina 
2015,Mad Max: Fury Road 
2015,The Martian 
2016,The Jungle Book 
2016,Arrival 
2016,Doctor Strange 
2016,Fantastic Beasts and Where to Find Them 
2016,Rogue One: A Star Wars Story 
2017,Blade Runner 2049 
2017,Dunkirk 
2017,The Shape of Water 
2017,Star Wars: The Last Jedi 
2017,War for the Planet of the Apes 
2018,Black Panther 
2018,Avengers: Infinity War 
2018,Fantastic Beasts: The Crimes of Grindelwald 
2018,First Man 
2018,Ready Player One 
2019,1917 
2019,Avengers: Endgame 
2019,The Irishman 
2019,The Lion King 
2019,Star Wars: The Rise of Skywalker 
