Year,Film
2010,The Social Network
2010,127 Hours
2010,The Girl with the Dragon Tattoo
2010,Toy Story 3
2010,True Grit
2011,Tinker Tailor Soldier Spy
2011,The Descendants
2011,The Help
2011,The Ides of March
2011,Moneyball
2012,Silver Linings Playbook
2012,Argo
2012,Beasts of the Southern Wild
2012,Life of Pi
2012,Lincoln
2013,Philomena
2013,12 Years a Slave
2013,Behind the Candelabra
2013,Captain Phillips
2013,The Wolf of Wall Street
2014,The Theory of Everything
2014,American Sniper
2014,Gone Girl
2014,The Imitation Game
2014,Paddington
2015,The Big Short
2015,Brooklyn
2015,Carol
2015,Room
2015,Steve Jobs
2016,Lion
2016,Arrival
2016,Hacksaw Ridge
2016,Hidden Figures
2016,Nocturnal Animals
2017,Call Me by Your Name
2017,The Death of Stalin
2017,Film Stars Don't Die in Liverpool
2017,Molly's Game
2017,Paddington 2
2018,BlacKkKlansman
2018,Can You Ever Forgive Me?
2018,First Man
2018,If Beale Street Could Talk
2018,A Star Is Born
2019,Jojo Rabbit
2019,The Irishman
2019,Joker
2019,Little Women
2019,The Two Popes
