Year,Film
2010,The Social Network
2010,127 Hours
2010,Toy Story 3
2010,True Grit
2010,Winter's Bone
2011,The Descendants
2011,Hugo
2011,The Ides of March
2011,Moneyball
2011,Tinker Tailor Soldier Spy
2012,Argo
2012,Beasts of the Southern Wild
2012,Life of Pi
2012,Lincoln
2012,Silver Linings Playbook
2013,12 Years a Slave
2013,Before Midnight
2013,Captain Phillips
2013,Philomena
2013,The Wolf of Wall Street
2014,The Imitation Game
2014,American Sniper
2014,Inherent Vice
2014,The Theory of Everything
2014,Whiplash
2015,The Big Short
2015,Brooklyn
2015,Carol
2015,The Martian
2015,Room
2016,Moonlight
2016,Arrival
2016,Fences
2016,Hidden Figures
2016,Lion
2017,Call Me by Your Name
2017,The Disaster Artist
2017,Logan
2017,Molly's Game
2017,Mudbound
2018,BlacKkKlansman
2018,The Ballad of Buster Scruggs
2018,Can You Ever Forgive Me?
2018,If Beale Street Could Talk
2018,A Star Is Born
2019,Jojo Rabbit
2019,The Irishman
2019,Joker
2019,Little Women
2019,The Two Popes
