Year,Film
2010,Toy Story 3
2010,Despicable Me
2010,How to Train Your Dragon
2010,The Illusionist
2010,Tangled
2011,The Adventures of Tintin
2011,Arthur Christmas
2011,Cars 2
2011,Puss in Boots
2011,Rango
2012,Brave
2012,Frankenweenie
2012,Hotel Transylvania
2012,Rise of the Guardians
2012,Wreck-It Ralph
2013,Frozen
2013,The Croods
2013,Despicable Me 2
2014,How to Train Your Dragon 2
2014,Big Hero 6
2014,The Book of Life
2014,The Boxtrolls
2014,The Lego Movie
2015,Inside Out
2015,Anomalisa
2015,The Good Dinosaur
2015,The Peanuts Movie
2015,Shaun the Sheep Movie
2016,Zootopia
2016,Kubo and the Two Strings
2016,Moana
2016,My Life as a Courgette
2016,Sing
2017,Coco
2017,The Boss Baby
2017,The Breadwinner
2017,Ferdinand
2017,Loving Vincent
2018,Spider-Man: Into the Spider-Verse
2018,Incredibles 2
2018,Isle of Dogs
2018,Mirai
2018,Ralph Breaks the Internet
2019,Missing Link
2019,Frozen II
2019,How to Train Your Dragon: The Hidden World
2019,The Lion King
2019,Toy Story 4
