Year,Film
2010,Inception
2010,Black Swan
2010,The King's Speech
2010,The Social Network
2010,True Grit
2011,Hugo
2011,The Artist
2011,The Girl with the Dragon Tattoo
2011,The Tree of Life
2011,War Horse
2012,Life of Pi
2012,Anna Karenina
2012,Django Unchained
2012,Lincoln
2012,Skyfall
2013,Gravity
2013,The Grandmaster
2013,Inside Llewyn Davis
2013,Nebraska
2013,Prisoners
2014,Birdman or (The Unexpected Virtue of Ignorance)
2014,The Grand Budapest Hotel
2014,Ida
2014,Mr. Turner
2014,Unbroken
2015,The Revenant
2015,Carol
2015,The Hateful Eight
2015,Mad Max: Fury Road
2015,Sicario
2016,La La Land
2016,Arrival
2016,Lion
2016,Moonlight
2016,Silence
2017,Blade Runner 2049
2017,Darkest Hour
2017,Dunkirk
2017,Mudbound
2017,The Shape of Water
2018,Roma
2018,Cold War
2018,The Favourite
2018,Never Look Away
2018,A Star Is Born
2019,1917
2019,The Irishman
2019,Joker
2019,The Lighthouse
2019,Once Upon a Time in Hollywood
