Year,Film
2010,Alice in Wonderland
2010,Black Swan
2010,The King's Speech
2010,True Grit
2011,The Artist
2011,The Help
2011,Hugo
2011,Jane Eyre
2011,My Week with Marilyn
2012,Anna Karenina
2012,Cloud Atlas
2012,The Hobbit: An Unexpected Journey
2012,Les Misérables
2012,Lincoln
2013,The Great Gatsby
2013,12 Years a Slave
2013,American Hustle
2013,The Hobbit: The Desolation of Smaug
2013,Saving Mr. Banks
2014,The Grand Budapest Hotel
2014,Inherent Vice
2014,Into the Woods
2014,Maleficent
2014,Mr. Turner
2015,Mad Max: Fury Road
2015,Brooklyn
2015,Carol
2015,Cinderella
2015,The Danish Girl
2016,Jackie
2016,Allied
2016,Fantastic Beasts and Where to Find Them
2016,Florence Foster Jenkins
2016,La La Land
2016,Love & Friendship
2017,Phantom Thread
2017,Beauty and the Beast
2017,Blade Runner 2049
2017,The Shape of Water
2017,Wonder Woman
2018,Black Panther
2018,Bohemian Rhapsody
2018,The Favourite
2018,Mary Poppins Returns
2018,Mary Queen of Scots
2019,Dolemite Is My Name
2019,Downton Abbey
2019,The Irishman
2019,Little Women
2019,Once Upon a Time in Hollywood
2019,Rocketman
