Year,Film
2010,The Social Network
2010,Black Swan
2010,127 Hours
2010,True Grit
2010,The King's Speech
2010,Inception
2011,The Artist
2011,Extremely Loud & Incredibly Close
2011,The Descendants
2011,Drive
2011,Hugo
2011,War Horse
2012,Argo
2012,Zero Dark Thirty
2012,Les Misérables
2012,Life of Pi
2012,Silver Linings Playbook
2012,Lincoln
2013,Gravity
2013,Captain Phillips
2013,Her
2013,12 Years a Slave
2013,American Hustle
2013,The Wolf of Wall Street
2014,Boyhood
2014,The Grand Budapest Hotel
2014,Selma
2014,Gone Girl
2014,Birdman or (The Unexpected Virtue of Ignorance)
2014,Unbroken
2015,Mad Max: Fury Road
2015,Carol
2015,The Revenant
2015,Spotlight
2015,The Martian
2015,Bridge of Spies
2016,La La Land
2016,Hacksaw Ridge
2016,Moonlight
2016,Manchester by the Sea
2016,Hell or High Water
2016,Arrival
2016,Fences
2017,The Shape of Water
2017,Lady Bird
2017,Call Me by Your Name
2017,"Three Billboards Outside Ebbing, Missouri"
2017,Dunkirk
2017,Get Out
2017,The Post
2018,Roma
2018,First Man
2018,A Star Is Born
2018,Green Book
2018,The Favourite
2018,BlacKkKlansman
2018,Vice
2019,Parasite
2019,1917
2019,Marriage Story
2019,Little Women
2019,Uncut Gems
2019,The Irishman
2019,Once Upon a Time in Hollywood
