Year,Film
2010,The Social Network 
2010,127 Hours 
2010,Black Swan 
2010,Inception 
2010,The King's Speech 
2011,Senna 
2011,The Artist 
2011,Drive 
2011,Hugo 
2011,Tinker Tailor Soldier Spy 
2012,Argo 
2012,Django Unchained 
2012,Life of Pi 
2012,Skyfall 
2012,Zero Dark Thirty 
2013,Rush 
2013,12 Years a Slave 
2013,Captain Phillips 
2013,Gravity 
2013,The Wolf of Wall Street 
2014,Whiplash 
2014,Birdman or (The Unexpected Virtue of Ignorance)
2014,The Grand Budapest Hotel 
2014,The Imitation Game 
2014,Nightcrawler 
2015,The Theory of Everything 
2015,Mad Max: Fury Road 
2015,The Big Short 
2015,Bridge of Spies 
2015,The Martian 
2015,The Revenant 
2016,Hacksaw Ridge 
2016,Arrival 
2016,La La Land 
2016,Manchester by the Sea 
2016,Nocturnal Animals 
2017,Baby Driver 
2017,Blade Runner 2049 
2017,Dunkirk 
2017,The Shape of Water 
2017,"Three Billboards Outside Ebbing, Missouri "
2018,Vice 
2018,Bohemian Rhapsody 
2018,The Favourite 
2018,First Man 
2018,Roma 
2019,Ford v Ferrari 
2019,The Irishman 
2019,Jojo Rabbit 
2019,Joker 
2019,Once Upon a Time in Hollywood 
