Year,Film
2010,The Social Network
2010,127 Hours
2010,Black Swan
2010,The Fighter
2010,The King's Speech
2011,The Girl with the Dragon Tattoo
2011,The Artist
2011,The Descendants
2011,Hugo
2011,Moneyball
2012,Argo
2012,Life of Pi
2012,Lincoln
2012,Silver Linings Playbook
2012,Zero Dark Thirty
2013,Gravity
2013,12 Years a Slave
2013,American Hustle
2013,Captain Phillips
2013,Dallas Buyers Club
2014,Whiplash
2014,American Sniper
2014,Boyhood
2014,The Grand Budapest Hotel
2014,The Imitation Game
2015,Mad Max: Fury Road
2015,The Big Short
2015,The Revenant
2015,Spotlight
2015,Star Wars: The Force Awakens
2016,Hacksaw Ridge
2016,Arrival
2016,Hell or High Water
2016,La La Land
2016,Moonlight
2017,Dunkirk
2017,Baby Driver
2017,"I, Tonya"
2017,The Shape of Water
2017,"Three Billboards Outside Ebbing, Missouri"
2018,Bohemian Rhapsody
2018,BlacKkKlansman
2018,The Favourite
2018,Green Book
2018,Vice
2019,Ford v Ferrari
2019,The Irishman
2019,Jojo Rabbit
2019,Joker
2019,Parasite
