Year,Film
2010,The Girl with the Dragon Tattoo
2010,I Am Love
2010,Biutiful
2011,A Separation
2011,In Darkness
2011,Le Havre
2011,The Skin I Live In
2011,Where Do We Go Now?
2012,Amour
2012,The Intouchables
2012,A Royal Affair
2012,Rust and Bone
2013,Blue Is the Warmest Colour
2013,The Great Beauty
2013,The Hunt
2013,The Past
2013,Wadjda
2014,Force Majeure
2014,Ida
2014,Leviathan
2014,"Two Days, One Night"
2014,Wild Tales
2015,Son of Saul
2015,The Assassin
2015,Goodnight Mommy
2015,Mustang
2015,The Second Mother
2016,Elle
2016,The Handmaiden
2016,Julieta
2016,Neruda
2016,The Salesman
2016,Toni Erdmann
2017,In the Fade
2017,BPM (Beats per Minute)
2017,A Fantastic Woman
2017,First They Killed My Father
2017,The Square
2017,Thelma
2018,Roma
2018,Burning
2018,Capernaum
2018,Cold War
2018,Shoplifters
2019,Parasite
2019,Atlantics
2019,Pain and Glory
2019,Les Misérables
2019,Portrait of a Lady on Fire
