Year,Actor,Film
2010,Paul Giamatti,Barney's Version
2010,Johnny Depp,Alice in Wonderland
2010,Johnny Depp,The Tourist
2010,Jake Gyllenhaal,Love & Other Drugs
2010,Kevin Spacey,Casino Jack
2010,Colin Firth,The King's Speech
2010,Jesse Eisenberg,The Social Network
2010,James Franco,127 Hours
2010,Ryan Gosling,Blue Valentine
2010,Mark Wahlberg,The Fighter
2011,Jean Dujardin,The Artist
2011,Brendan Gleeson,The Guard
2011,Joseph Gordon-Levitt,50/50
2011,Ryan Gosling,"Crazy, Stupid, Love."
2011,Owen Wilson,Midnight in Paris
2011,George Clooney,The Descendants
2011,Leonardo DiCaprio,J. Edgar
2011,Michael Fassbender,Shame
2011,Ryan Gosling,The Ides of March
2011,Brad Pitt,Moneyball
2012,Hugh Jackman,Les Misérables
2012,Jack Black,Bernie
2012,Bradley Cooper,Silver Linings Playbook
2012,Ewan McGregor,Salmon Fishing in the Yemen
2012,Bill Murray,Hyde Park on Hudson
2012,Daniel Day-Lewis,Lincoln
2012,Richard Gere,Arbitrage
2012,John Hawkes,The Sessions
2012,Joaquin Phoenix,The Master
2012,Denzel Washington,Flight
2013,Leonardo DiCaprio,The Wolf of Wall Street
2013,Christian Bale,American Hustle
2013,Bruce Dern,Nebraska
2013,Oscar Isaac,Inside Llewyn Davis
2013,Joaquin Phoenix,Her
2013,Matthew McConaughey,Dallas Buyers Club
2013,Chiwetel Ejiofor,12 Years a Slave
2013,Idris Elba,Mandela: Long Walk to Freedom
2013,Tom Hanks,Captain Phillips
2013,Robert Redford,All Is Lost
2014,Michael Keaton,Birdman or (The Unexpected Virtue of Ignorance)
2014,Ralph Fiennes,The Grand Budapest Hotel
2014,Bill Murray,St. Vincent
2014,Joaquin Phoenix,Inherent Vice
2014,Christoph Waltz,Big Eyes
2014,Eddie Redmayne,The Theory of Everything
2014,Steve Carell,Foxcatcher
2014,Benedict Cumberbatch,The Imitation Game
2014,Jake Gyllenhaal,Nightcrawler
2014,David Oyelowo,Selma
2015,Matt Damon,The Martian
2015,Christian Bale,The Big Short
2015,Steve Carell,The Big Short
2015,Al Pacino,Danny Collins
2015,Mark Ruffalo,Infinitely Polar Bear
2015,Leonardo DiCaprio,The Revenant
2015,Bryan Cranston,Trumbo
2015,Michael Fassbender,Steve Jobs
2015,Eddie Redmayne,The Danish Girl
2015,Will Smith,Concussion
2016,Ryan Gosling,La La Land
2016,Colin Farrell,The Lobster
2016,Hugh Grant,Florence Foster Jenkins
2016,Jonah Hill,War Dogs
2016,Ryan Reynolds,Deadpool
2016,Casey Affleck,Manchester by the Sea
2016,Joel Edgerton,Loving
2016,Andrew Garfield,Hacksaw Ridge
2016,Viggo Mortensen,Captain Fantastic
2016,Denzel Washington,Fences
2017,James Franco,The Disaster Artist
2017,Steve Carell,Battle of the Sexes
2017,Ansel Elgort,Baby Driver
2017,Hugh Jackman,The Greatest Showman
2017,Daniel Kaluuya,Get Out
2017,Gary Oldman,Darkest Hour
2017,Timothée Chalamet,Call Me by Your Name
2017,Daniel Day-Lewis,Phantom Thread
2017,Tom Hanks,The Post
2017,Denzel Washington,"Roman J. Israel, Esq."
2018,Christian Bale,Vice
2018,Lin-Manuel Miranda,Mary Poppins Returns
2018,Viggo Mortensen,Green Book
2018,Robert Redford,The Old Man & the Gun
2018,John C. Reilly,Stan & Ollie
2018,Rami Malek,Bohemian Rhapsody
2018,Bradley Cooper,A Star Is Born
2018,Willem Dafoe,At Eternity's Gate
2018,Lucas Hedges,Boy Erased
2018,John David Washington,BlacKkKlansman
2019,Taron Egerton,Rocketman
2019,Daniel Craig,Knives Out
2019,Roman Griffin Davis,Jojo Rabbit
2019,Leonardo DiCaprio,Once Upon a Time in Hollywood
2019,Eddie Murphy,Dolemite Is My Name
2019,Joaquin Phoenix,Joker
2019,Christian Bale,Ford v. Ferrari
2019,Antonio Banderas,Pain and Glory
2019,Adam Driver,Marriage Story
2019,Jonathan Pryce,The Two Popes
