Year,Film
2010,Alice in Wonderland 
2010,Black Swan 
2010,Harry Potter and the Deathly Hallows - Part 1 
2010,The King's Speech 
2010,Made in Dagenham 
2011,The Iron Lady 
2011,The Artist 
2011,Harry Potter and the Deathly Hallows - Part 2 
2011,Hugo 
2011,My Week with Marilyn 
2012,Les Misérables 
2012,Anna Karenina 
2012,Hitchcock 
2012,The Hobbit: An Unexpected Journey 
2012,Lincoln 
2013,American Hustle 
2013,Behind the Candelabra 
2013,The Butler 
2013,The Great Gatsby 
2013,The Hobbit: The Desolation of Smaug 
2014,The Grand Budapest Hotel 
2014,Guardians of the Galaxy 
2014,Into the Woods 
2014,Mr. Turner 
2014,The Theory of Everything 
2015,Mad Max: Fury Road 
2015,Brooklyn 
2015,Carol 
2015,The Danish Girl 
2015,The Revenant 
2016,Florence Foster Jenkins 
2016,Doctor Strange 
2016,Hacksaw Ridge 
2016,Nocturnal Animals 
2016,Rogue One: A Star Wars Story 
2017,Darkest Hour 
2017,Blade Runner 2049 
2017,"I, Tonya "
2017,Victoria & Abdul 
2017,Wonder 
2018,The Favourite 
2018,Bohemian Rhapsody 
2018,Mary Queen of Scots 
2018,Stan & Ollie 
2018,Vice 
2019,Bombshell 
2019,1917 
2019,Joker 
2019,Judy 
2019,Rocketman 
