Year,Film
2010,Alice in Wonderland
2010,Black Swan
2010,Harry Potter and the Deathly Hallows - Part 1
2010,True Grit
2011,Harry Potter and the Deathly Hallows - Part 2
2011,Albert Nobbs
2011,J. Edgar
2011,My Week with Marilyn
2011,The Iron Lady
2012,Cloud Atlas
2012,The Hobbit: An Unexpected Journey
2012,Les Misérables
2012,Lincoln
2013,American Hustle
2013,12 Years a Slave
2013,The Butler
2013,The Hobbit: The Desolation of Smaug
2013,Rush
2014,Guardians of the Galaxy
2014,Foxcatcher
2014,The Hobbit: The Battle of the Five Armies
2014,Into the Woods
2014,Maleficent
2015,Mad Max: Fury Road
2015,Black Mass
2015,Carol
2015,The Danish Girl
2015,The Hateful Eight
2015,The Revenant
2016,Jackie
2016,Doctor Strange
2016,Fantastic Beasts and Where to Find Them
2016,Hacksaw Ridge
2016,Star Trek Beyond
2017,Darkest Hour
2017,Beauty and the Beast
2017,"I, Tonya"
2017,The Shape of Water
2017,Wonder
2018,Vice
2018,Black Panther
2018,Bohemian Rhapsody
2018,The Favourite
2018,Mary Queen of Scots
2018,Suspiria
2019,Bombshell
2019,Dolemite Is My Name
2019,The Irishman
2019,Joker
2019,Judy
2019,Once Upon a Time in Hollywood
2019,Rocketman
