Year,Film
2010,The King's Speech 
2010,127 Hours 
2010,Alice in Wonderland 
2010,How to Train Your Dragon 
2010,Inception 
2011,The Artist 
2011,The Girl with the Dragon Tattoo 
2011,Hugo 
2011,Tinker Tailor Soldier Spy 
2011,War Horse 
2012,Skyfall 
2012,Anna Karenina 
2012,Argo 
2012,Life of Pi 
2012,Lincoln 
2013,Gravity 
2013,12 Years a Slave 
2013,The Book Thief 
2013,Captain Phillips 
2013,Saving Mr. Banks 
2014,The Grand Budapest Hotel 
2014,Birdman or (The Unexpected Virtue of Ignorance)
2014,Interstellar 
2014,The Theory of Everything 
2014,Under the Skin 
2015,The Hateful Eight 
2015,Bridge of Spies 
2015,The Revenant 
2015,Sicario 
2015,Star Wars: The Force Awakens 
2016,La La Land 
2016,Arrival 
2016,Jackie 
2016,Lion 
2016,Nocturnal Animals 
2017,The Shape of Water 
2017,Blade Runner 2049 
2017,Darkest Hour 
2017,Dunkirk 
2017,Phantom Thread 
2018,A Star Is Born 
2018,BlacKkKlansman 
2018,If Beale Street Could Talk 
2018,Isle of Dogs 
2018,Mary Poppins Returns 
2019,Joker 
2019,1917 
2019,Jojo Rabbit 
2019,Little Women 
2019,Star Wars: The Rise of Skywalker 
