Year,Film
2010,The Social Network
2010,True Grit
2010,The King's Speech
2010,Black Swan
2010,Inception
2011,The Artist
2011,Drive
2011,The Girl with the Dragon Tattoo
2011,Hugo
2011,War Horse
2012,Lincoln
2012,Life of Pi
2012,Argo
2012,Moonrise Kingdom
2012,The Master
2013,Gravity
2013,Her
2013,Saving Mr. Banks
2013,12 Years a Slave
2014,Birdman or (The Unexpected Virtue of Ignorance)
2014,The Imitation Game
2014,The Theory of Everything
2014,Gone Girl
2014,Interstellar
2015,The Hateful Eight
2015,Carol
2015,Sicario
2015,The Revenant
2015,Spotlight
2016,La La Land
2016,Moonlight
2016,Arrival
2016,Jackie
2016,Lion
2017,The Shape of Water
2017,Phantom Thread
2017,Darkest Hour
2017,Blade Runner 2049
2017,The Post
2017,Dunkirk
2018,First Man
2018,Green Book
2018,If Beale Street Could Talk
2018,Isle of Dogs
2018,Black Panther
2018,Mary Poppins Returns
2019,Joker
2019,Us
2019,Little Women
2019,Marriage Story
2019,1917
2019,The Irishman
