Year,Film
2010,The Social Network
2010,127 Hours
2010,Alice in Wonderland
2010,Inception
2010,The King's Speech
2011,The Artist
2011,The Girl with the Dragon Tattoo
2011,Hugo
2011,War Horse
2011,W.E.
2012,Life of Pi
2012,Anna Karenina
2012,Argo
2012,Lincoln
2012,Cloud Atlas
2013,All Is Lost
2013,12 Years a Slave
2013,The Book Thief
2013,Gravity
2013,Mandela: Long Walk to Freedom
2014,The Theory of Everything
2014,Birdman or (The Unexpected Virtue of Ignorance)
2014,Gone Girl
2014,The Imitation Game
2014,Interstellar
2015,The Hateful Eight
2015,Carol
2015,The Danish Girl
2015,The Revenant
2015,Steve Jobs
2016,La La Land
2016,Arrival
2016,Hidden Figures
2016,Lion
2016,Moonlight
2017,The Shape of Water
2017,Dunkirk
2017,Phantom Thread
2017,The Post
2017,"Three Billboards Outside Ebbing, Missouri"
2018,First Man
2018,Black Panther
2018,Isle of Dogs
2018,Mary Poppins Returns
2018,A Quiet Place
2019,Joker
2019,1917
2019,Little Women
2019,Marriage Story
2019,Motherless Brooklyn
