Year,Film
2010,The Social Network
2010,127 Hours
2010,How to Train Your Dragon
2010,Inception
2010,The King's Speech
2011,The Artist
2011,The Adventures of Tintin
2011,Hugo
2011,Tinker Tailor Soldier Spy
2011,War Horse
2012,Life of Pi
2012,Anna Karenina
2012,Argo
2012,Lincoln
2012,Skyfall
2013,Gravity
2013,The Book Thief
2013,Her
2013,Philomena
2013,Saving Mr. Banks
2014,The Grand Budapest Hotel
2014,The Imitation Game
2014,Interstellar
2014,Mr. Turner
2014,The Theory of Everything
2015,The Hateful Eight
2015,Bridge of Spies
2015,Carol
2015,Sicario
2015,Star Wars: The Force Awakens
2016,La La Land
2016,Jackie
2016,Lion
2016,Moonlight
2016,Passengers
2017,The Shape of Water
2017,Dunkirk
2017,Phantom Thread
2017,Star Wars: The Last Jedi
2017,"Three Billboards Outside Ebbing, Missouri"
2018,Black Panther
2018,BlacKkKlansman
2018,If Beale Street Could Talk
2018,Isle of Dogs
2018,Mary Poppins Returns
2019,Joker
2019,Little Women
2019,Marriage Story
2019,1917
2019,Star Wars: The Rise of Skywalker
