Year,Film
2010,Inception
2010,Black Swan
2010,The Fighter
2010,The Kids Are All Right
2010,Please Give
2011,Midnight in Paris
2011,50/50
2011,Bridesmaids
2011,Win Win
2011,Young Adult
2012,Zero Dark Thirty
2012,Flight
2012,Looper
2012,The Master
2012,Moonrise Kingdom
2013,Her
2013,American Hustle
2013,Blue Jasmine
2013,Dallas Buyers Club
2013,Nebraska
2014,The Grand Budapest Hotel
2014,Boyhood
2014,Foxcatcher
2014,Nightcrawler
2014,Whiplash
2015,Spotlight
2015,Bridge of Spies
2015,Sicario
2015,Straight Outta Compton
2015,Trainwreck
2016,Moonlight
2016,Hell or High Water
2016,La La Land
2016,Loving
2016,Manchester by the Sea
2017,Get Out
2017,The Big Sick
2017,"I, Tonya"
2017,Lady Bird
2017,The Shape of Water
2018,Eighth Grade
2018,Green Book
2018,A Quiet Place
2018,Roma
2018,Vice
2019,Parasite
2019,1917
2019,Booksmart
2019,Knives Out
2019,Marriage Story
