Year,Song,Film
2010,You Haven't Seen the Last of Me, Burlesque
2010,Bound to You, Burlesque
2010,Coming Home, Country Strong
2010,I See the Light, Tangled
2010,There's a Place for Us, The Chronicles of Narnia: The Voyage of the Dawn Treader
2011,Masterpiece, W.E.
2011,Hello Hello, Gnomeo & Juliet
2011,The Keeper, Machine Gun Preacher
2011,Lay Your Head Down, Albert Nobbs
2011,The Living Proof, The Help
2012,Skyfall, Skyfall
2012,For You, Act of Valor
2012,Not Running Anymore, Stand Up Guys
2012,Safe & Sound, The Hunger Games
2012,Suddenly, Les Misérables
2013,Ordinary Love, Mandela: Long Walk to Freedom
2013,Atlas, The Hunger Games: Catching Fire
2013,Let It Go, Frozen
2013,Please Mr. Kennedy, Inside Llewyn Davis
2013,Sweeter than Fiction, One Chance
2014,Glory, Selma
2014,Big Eyes, Big Eyes
2014,Mercy Is, Noah
2014,Opportunity, Annie
2014,Yellow Flicker Beat, The Hunger Games: Mockingjay - Part 1
2015,Writing's on the Wall, Spectre
2015,Love Me like You Do, Fifty Shades of Grey
2015,One Kind of Love, Love & Mercy
2015,See You Again, Furious 7
2015,Simple Song #3, Youth
2016,City of Stars, La La Land
2016,Can't Stop the Feeling!, Trolls
2016,Faith, Sing
2016,Gold, Gold
2016,How Far I'll Go, Moana
2017,This Is Me, The Greatest Showman
2017,Home Music, Ferdinand
2017,Mighty River, Mudbound
2017,Remember Me, Coco
2017,The Star, The Star
2018,Shallow, A Star Is Born
2018,All the Stars, Black Panther
2018,Girl in the Movies, Dumplin'
2018,Requiem For A Private War, A Private War
2018,Revelation, Boy Erased
2019,(I'm Gonna) Love Me Again, Rocketman
2019,Beautiful, Cats
2019,Into the Unknown, Frozen II
2019,Spirit, The Lion King
2019,Stand Up, Harriet
