Year,Film
2010,The King's Speech
2010,Black Swan
2010,Inception
2010,The Social Network
2010,True Grit
2011,The Artist
2011,The Descendants
2011,Drive
2011,The Help
2011,Tinker Tailor Soldier Spy
2012,Argo
2012,Les Misérables
2012,Life of Pi
2012,Lincoln
2012,Zero Dark Thirty
2013,12 Years a Slave
2013,American Hustle
2013,Captain Phillips
2013,Gravity
2013,Philomena
2014,Boyhood
2014,Birdman or (The Unexpected Virtue of Ignorance)
2014,The Grand Budapest Hotel
2014,The Imitation Game
2014,The Theory of Everything
2015,The Revenant
2015,The Big Short
2015,Bridge of Spies
2015,Carol
2015,Spotlight
2016,La La Land
2016,Arrival
2016,"I, Daniel Blake"
2016,Manchester by the Sea
2016,Moonlight
2017,"Three Billboards Outside Ebbing, Missouri"
2017,Call Me by Your Name
2017,Darkest Hour
2017,Dunkirk
2017,The Shape of Water
2018,Roma
2018,BlacKkKlansman
2018,The Favourite
2018,Green Book
2018,A Star Is Born
2019,1917
2019,The Irishman
2019,Joker
2019,Once Upon a Time in Hollywood
2019,Parasite
