Year,Film,
2010,The King's Speech,
2010,Black Swan,
2010,The Fighter,
2010,The Kids Are All Right,
2010,The Social Network,
2011,The Help,
2011,The Artist,
2011,Bridesmaids,
2011,The Descendants,
2011,Midnight in Paris,
2012,Argo,
2012,The Best Exotic Marigold Hotel,
2012,Les Misérables,
2012,Lincoln,
2012,Silver Linings Playbook,
2013,American Hustle,
2013,12 Years a Slave,
2013,August: Osage County,
2013,The Butler,
2013,Dallas Buyers Club,
2014,Birdman or (The Unexpected Virtue of Ignorance),
2014,Boyhood,
2014,The Grand Budapest Hotel,
2014,The Imitation Game,
2014,The Theory of Everything,
2015,Spotlight,
2015,Beasts of No Nation,
2015,The Big Short,
2015,Straight Outta Compton,
2015,Trumbo,
2016,Hidden Figures,
2016,Captain Fantastic,
2016,Fences,
2016,Manchester by the Sea,
2016,Moonlight,
2017,"Three Billboards Outside Ebbing, Missouri",
2017,The Big Sick,
2017,Get Out,
2017,Lady Bird,
2017,Mudbound,
2018,Black Panther,
2018,BlacKkKlansman,
2018,Bohemian Rhapsody,
2018,Crazy Rich Asians,
2018,A Star Is Born,
2019,Parasite,
2019,Bombshell,
2019,The Irishman,
2019,Jojo Rabbit,
2019,Once Upon a Time in Hollywood,
