Year,Film
2010,The King's Speech
2010,Get Low
2010,Robin Hood
2010,Shutter Island
2010,True Grit
2010,Inception
2010,Alice in Wonderland
2010,The Chronicles of Narnia: The Voyage of the Dawn Treader
2010,Harry Potter and the Deathly Hallows - Part 1
2010,Tron: Legacy
2010,Black Swan
2010,127 Hours
2010,The Fighter
2010,The Social Network
2010,The Town
2011,Hugo
2011,Anonymous
2011,The Artist
2011,The Help
2011,Tinker Tailor Soldier Spy
2011,Harry Potter and the Deathly Hallows - Part 2
2011,The Adventures of Tintin
2011,Captain America: The First Avenger
2011,Cowboys & Aliens
2011,Pirates of the Caribbean: On Stranger Tides
2011,The Girl with the Dragon Tattoo
2011,Bridesmaids
2011,The Descendants
2011,Drive
2011,Extremely Loud and Incredibly Close
2012,Anna Karenina
2012,Argo
2012,Django Unchained
2012,Les Misérables
2012,Lincoln
2012,Life of Pi
2012,Cloud Atlas
2012,The Dark Knight Rises
2012,The Hobbit: An Unexpected Journey
2012,Prometheus
2012,Skyfall
2012,The Best Exotic Marigold Hotel
2012,Flight
2012,The Impossible
2012,Zero Dark Thirty
2013,The Great Gatsby
2013,12 Years a Slave
2013,American Hustle
2013,Inside Llewyn Davis
2013,Saving Mr. Banks
2013,Gravity
2013,Elysium
2013,The Hobbit: The Desolation of Smaug
2013,Oblivion
2013,Star Trek Into Darkness
2013,Her
2013,August: Osage County
2013,Blue Jasmine
2013,Captain Phillips
2013,The Wolf of Wall Street
2014,The Grand Budapest Hotel
2014,Inherent Vice
2014,The Imitation Game
2014,The Theory of Everything
2014,Unbroken
2014,Guardians of the Galaxy
2014,Captain America: The Winter Soldier
2014,Dawn of the Planet of the Apes
2014,Interstellar
2014,Into the Woods
2014,Birdman or (The Unexpected Virtue of Ignorance)
2014,American Sniper
2014,Foxcatcher
2014,Gone Girl
2014,Nightcrawler
2015,The Revenant
2015,Bridge of Spies
2015,Crimson Peak
2015,The Danish Girl
2015,Trumbo
2015,Mad Max: Fury Road
2015,Cinderella
2015,Jurassic World
2015,Star Wars: The Force Awakens
2015,Tomorrowland
2015,The Martian
2015,Ex Machina
2015,Joy
2015,Sicario
2015,Spectre
2016,Hidden Figures
2016,Café Society
2016,Fences
2016,Hacksaw Ridge
2016,"Hail, Caesar!"
2016,Jackie
2016,Passengers
2016,Arrival
2016,Doctor Strange
2016,Fantastic Beasts and Where to Find Them
2016,Rogue One: A Star Wars Story
2016,La La Land
2016,Hell or High Water
2016,Lion
2016,Manchester by the Sea
2016,Nocturnal Animals
2017,The Shape of Water
2017,Darkest Hour
2017,Dunkirk
2017,Murder on the Orient Express
2017,The Post
2017,Blade Runner 2049
2017,Beauty and the Beast
2017,Star Wars: The Last Jedi
2017,War for the Planet of the Apes
2017,Wonder Woman
2017,Logan
2017,Downsizing
2017,Get Out
2017,Lady Bird
2017,"Three Billboards Outside Ebbing, Missouri"
2018,The Favourite
2018,The Ballad of Buster Scruggs
2018,Bohemian Rhapsody
2018,First Man
2018,Roma
2018,Black Panther
2018,Fantastic Beasts: The Crimes of Grindelwald
2018,The House with a Clock in Its Walls
2018,Mary Poppins Returns
2018,Ready Player One
2018,Crazy Rich Asians
2018,Mission: Impossible - Fallout
2018,A Quiet Place
2018,A Star Is Born
2018,Welcome to Marwen
2019,Once Upon a Time in Hollywood
2019,1917
2019,Ford v Ferrari
2019,The Irishman
2019,Jojo Rabbit
2019,Joker
2019,Avengers: Endgame
2019,Ad Astra
2019,Aladdin
2019,Dumbo
2019,Maleficent: Mistress of Evil
2019,Star Wars: The Rise of Skywalker
2019,Parasite
2019,A Beautiful Day in the Neighborhood
2019,John Wick: Chapter 3 - Parabellum
2019,Knives Out
2019,Us
