Year,Film
2010,Inception
2010,Alice in Wonderland
2010,Black Swan
2010,The King's Speech
2010,True Grit
2011,Hugo
2011,The Artist
2011,Harry Potter and the Deathly Hallows - Part 2
2011,The Tree of Life
2011,War Horse
2012,Anna Karenina
2012,The Hobbit: An Unexpected Journey
2012,Les Misérables
2012,Life of Pi
2012,Lincoln
2013,The Great Gatsby
2013,12 Years a Slave
2013,Gravity
2013,Her
2013,The Hobbit: The Desolation of Smaug
2014,The Grand Budapest Hotel
2014,Birdman or (The Unexpected Virtue of Ignorance)
2014,Inherent Vice
2014,Interstellar
2014,Into the Woods
2014,Snowpiercer
2015,Mad Max: Fury Road
2015,Bridge of Spies
2015,Brooklyn
2015,Carol
2015,The Danish Girl
2015,The Martian
2016,La La Land
2016,Arrival
2016,Fantastic Beasts and Where to Find Them
2016,Jackie
2016,Live by Night
2017,The Shape of Water
2017,Beauty and the Beast
2017,Blade Runner 2049
2017,Dunkirk
2017,Murder on the Orient Express
2017,Phantom Thread
2018,Black Panther
2018,Crazy Rich Asians
2018,The Favourite
2018,First Man
2018,Mary Poppins Returns
2018,Roma
2019,Once Upon a Time in Hollywood
2019,1917
2019,Downton Abbey
2019,The Irishman
2019,Joker
2019,Little Women
2019,Parasite
