Year,Actor,Film
2010,Helena Bonham Carter,The King's Speech
2010,Amy Adams,The Fighter
2010,Barbara Hershey,Black Swan
2010,Lesley Manville,Another Year
2010,Miranda Richardson,Made in Dagenham
2011,Octavia Spencer,The Help
2011,Jessica Chastain,The Help
2011,Judi Dench,My Week with Marilyn
2011,Melissa McCarthy,Bridesmaids
2011,Carey Mulligan,Drive
2012,Anne Hathaway,Les Misérables
2012,Amy Adams,The Master
2012,Judi Dench,Skyfall
2012,Sally Field,Lincoln
2012,Helen Hunt,The Sessions
2013,Jennifer Lawrence,American Hustle
2013,Sally Hawkins,Blue Jasmine
2013,Lupita Nyong'o,12 Years a Slave
2013,Julia Roberts,August: Osage County
2013,Oprah Winfrey,The Butler
2014,Patricia Arquette,Boyhood
2014,Keira Knightley,The Imitation Game
2014,Rene Russo,Nightcrawler
2014,Imelda Staunton,Pride
2014,Emma Stone,Birdman or (The Unexpected Virtue of Ignorance)
2015,Kate Winslet,Steve Jobs
2015,Jennifer Jason Leigh,The Hateful Eight
2015,Rooney Mara,Carol
2015,Alicia Vikander,Ex Machina
2015,Julie Walters,Brooklyn
2016,Viola Davis,Fences
2016,Naomie Harris,Moonlight
2016,Nicole Kidman,Lion
2016,Hayley Squires,"I, Daniel Blake"
2016,Michelle Williams,Manchester by the Sea
2017,Allison Janney,"I, Tonya"
2017,Lesley Manville,Phantom Thread
2017,Laurie Metcalf,Lady Bird
2017,Kristin Scott Thomas,Darkest Hour
2017,Octavia Spencer,The Shape of Water
2018,Rachel Weisz,The Favourite
2018,Amy Adams,Vice
2018,Claire Foy,First Man
2018,Margot Robbie,Mary Queen of Scots
2018,Emma Stone,The Favourite
2019,Laura Dern,Marriage Story
2019,Scarlett Johansson,Jojo Rabbit
2019,Florence Pugh,Little Women
2019,Margot Robbie,Bombshell
2019,Margot Robbie,Once Upon a Time in Hollywood
