Year,Actor,Film
2010,Melissa Leo ,The Fighter
2010,Amy Adams,The Fighter
2010,Helena Bonham Carter,The King's Speech
2010,Hailee Steinfeld,True Grit
2010,Jacki Weaver,Animal Kingdom
2011,Octavia Spencer ,The Help
2011,Bérénice Bejo,The Artist
2011,Jessica Chastain,The Help
2011,Melissa McCarthy,Bridesmaids
2011,Janet McTeer,Albert Nobbs
2012,Anne Hathaway ,Les Misérables
2012,Amy Adams,The Master
2012,Sally Field,Lincoln
2012,Helen Hunt,The Sessions
2012,Jacki Weaver,Silver Linings Playbook
2013,Lupita Nyong'o ,12 Years a Slave
2013,Sally Hawkins,Blue Jasmine
2013,Jennifer Lawrence,American Hustle
2013,Julia Roberts,August: Osage County
2013,June Squibb,Nebraska
2014,Patricia Arquette ,Boyhood
2014,Laura Dern,Wild
2014,Keira Knightley,The Imitation Game
2014,Emma Stone,Birdman or (The Unexpected Virtue of Ignorance)
2014,Meryl Streep,Into the Woods
2015,Alicia Vikander ,The Danish Girl
2015,Jennifer Jason Leigh,The Hateful Eight
2015,Rooney Mara,Carol
2015,Rachel McAdams,Spotlight
2015,Kate Winslet,Steve Jobs
2016,Viola Davis ,Fences
2016,Naomie Harris,Moonlight
2016,Nicole Kidman,Lion
2016,Octavia Spencer,Hidden Figures
2016,Michelle Williams,Manchester by the Sea
2017,Allison Janney ,"I, Tonya"
2017,Mary J. Blige,Mudbound
2017,Lesley Manville,Phantom Thread
2017,Laurie Metcalf,Lady Bird
2017,Octavia Spencer,The Shape of Water
2018,Regina King ,If Beale Street Could Talk
2018,Amy Adams,Vice
2018,Marina de Tavira,Roma
2018,Emma Stone,The Favourite
2018,Rachel Weisz,The Favourite
2019,Laura Dern ,Marriage Story
2019,Kathy Bates,Richard Jewell
2019,Scarlett Johansson,Jojo Rabbit
2019,Florence Pugh,Little Women
2019,Margot Robbie,Bombshell
