Year,Film
2010,How to Train Your Dragon
2010,Despicable Me
2010,The Illusionist
2010,Tangled
2010,Toy Story 3
2011,Rango
2011,The Adventures of Tintin
2011,Arthur Christmas
2011,Cars 2
2011,A Cat in Paris
2011,Chico & Rita
2011,Kung Fu Panda 2
2011,Puss in Boots
2011,Rio
2011,Wrinkles
2012,Wreck-It Ralph
2012,Brave
2012,Frankenweenie
2012,Hotel Transylvania
2012,ParaNorman
2012,The Pirates! In an Adventure with Scientists!
2012,The Rabbi's Cat
2012,Rise of the Guardians
2013,Frozen
2013,The Croods
2013,Despicable Me 2
2013,Ernest & Celestine
2013,A Letter to Momo
2013,Monsters University
2013,The Wind Rises
2014,How to Train Your Dragon 2
2014,Big Hero 6
2014,The Book of Life
2014,The Boxtrolls
2014,Cheatin'
2014,The Lego Movie
2014,Song of the Sea
2014,The Tale of the Princess Kaguya
2015,Inside Out
2015,Anomalisa
2015,The Good Dinosaur
2015,The Peanuts Movie
2015,Shaun the Sheep Movie
2016,Zootopia
2016,Finding Dory
2016,Kubo and the Two Strings
2016,Kung Fu Panda 3
2016,Moana
2017,Coco
2017,The Boss Baby
2017,Captain Underpants: The First Epic Movie
2017,Cars 3
2017,Despicable Me 3
2018,Spider-Man: Into the Spider-Verse
2018,Early Man
2018,Incredibles 2
2018,Isle of Dogs
2018,Ralph Breaks the Internet
2019,Klaus
2019,Frozen II
2019,How to Train Your Dragon: The Hidden World
2019,Missing Link
2019,Toy Story 4
