Year,Film
2010,Toy Story 3
2010,Despicable Me
2010,How to Train Your Dragon
2011,Rango
2011,The Adventures of Tintin
2011,Arthur Christmas
2012,Brave
2012,Frankenweenie
2012,ParaNorman
2013,Frozen
2013,Despicable Me 2
2013,Monsters University
2014,The Lego Movie
2014,Big Hero 6
2014,The Boxtrolls
2015,Inside Out
2015,Minions
2015,Shaun the Sheep Movie
2016,Kubo and the Two Strings
2016,Finding Dory
2016,Moana
2016,Zootopia
2017,Coco
2017,Loving Vincent
2017,My Life as a Courgette
2018,Spider-Man: Into the Spider-Verse
2018,Incredibles 2
2018,Isle of Dogs
2019,Klaus
2019,Frozen II
2019,A Shaun the Sheep Movie: Farmageddon
2019,Toy Story 4
2020,Onward
2020,Soul
2020,Wolfwalkers
