Year,Film
2010, True Grit
2010, 127 Hours
2010, The King's Speech
2010, Black Swan
2010, Inception
2011, The Artist
2011, The Girl with the Dragon Tattoo
2011, War Horse
2011, Hugo
2011, Tinker Tailor Soldier Spy
2012, Life of Pi
2012, Les Misérables
2012, Skyfall
2012, Lincoln
2012, Anna Karenina
2013, Gravity
2013, Captain Phillips
2013, 12 Years a Slave
2013, Inside Llewyn Davis
2013, Nebraska
2014, Birdman or (The Unexpected Virtue of Ignorance)
2014, Ida
2014, Mr. Turner
2014, Interstellar
2014, The Grand Budapest Hotel
2015, The Revenant
2015, Sicario
2015, Bridge of Spies
2015, Carol
2015, Mad Max: Fury Road
2016, La La Land
2016, Lion
2016, Nocturnal Animals
2016, Hell or High Water
2016, Arrival
2017, Blade Runner 2049
2017," Three Billboards Outside Ebbing, Missouri"
2017, Darkest Hour
2017, The Shape of Water
2017, Dunkirk
2018, Roma
2018, The Favourite
2018, First Man
2018, Bohemian Rhapsody
2018, Cold War
2019, 1917
2018, Ford v Ferrari
2019, The Irishman
2019, Joker
2019, The Lighthouse
