Year,Film
2010,The Social Network
2010,Black Swan
2010,The Fighter
2010,Inception
2010,The King's Speech
2011,Hugo
2011,The Artist
2011,The Descendants
2011,The Ides of March
2011,Midnight in Paris
2012,Argo
2012,Django Unchained
2012,Life of Pi
2012,Lincoln
2012,Zero Dark Thirty
2013,Gravity
2013,12 Years a Slave
2013,American Hustle
2013,Captain Phillips
2013,Nebraska
2014,Boyhood
2014,Birdman or (The Unexpected Virtue of Ignorance)
2014,Gone Girl
2014,The Grand Budapest Hotel
2014,Selma
2015,The Revenant
2015,Carol
2015,Mad Max: Fury Road
2015,The Martian
2015,Spotlight
2016,La La Land
2016,Hacksaw Ridge
2016,Moonlight
2016,Manchester by the Sea
2016,Nocturnal Animals
2017,The Shape of Water
2017,All the Money in the World
2017,Dunkirk
2017,The Post
2017,"Three Billboards Outside Ebbing, Missouri"
2018,Roma
2018,BlacKkKlansman
2018,Green Book
2018,A Star Is Born
2018,Vice
2019,1917
2019,The Irishman
2019,Joker
2019,Once Upon a Time in Hollywood
2019,Parasite
