Year,Film
2010,The King's Speech
2010,Black Swan
2010,True Grit
2010,The Social Network
2010,The Fighter
2011,The Artist
2011,Midnight in Paris
2011,The Tree of Life
2011,The Descendants
2011,Hugo
2012,Life of Pi
2012,Amour
2012,Silver Linings Playbook
2012,Lincoln
2012,Beasts of the Southern Wild
2013,Gravity
2013,12 Years a Slave
2013,Nebraska
2013,American Hustle
2013,The Wolf of Wall Street
2014,Birdman or (The Unexpected Virtue of Ignorance)
2014,The Grand Budapest Hotel
2014,Boyhood
2014,Foxcatcher
2014,The Imitation Game
2015,The Revenant
2015,Room
2015,Spotlight
2015,The Big Short
2015,Mad Max: Fury Road
2016,La La Land
2016,Hacksaw Ridge
2016,Moonlight
2016,Manchester by the Sea
2016,Arrival
2017,The Shape of Water
2017,Phantom Thread
2017,Lady Bird
2017,Dunkirk
2017,Get Out
2018,Roma
2018,The Favourite
2018,BlacKkKlansman
2018,Vice
2018,Cold War
2019,Parasite
2019,1917
2019,Joker
2019,The Irishman
2019,Once Upon a Time in Hollywood
