Year,Film
2010,The Social Network
2010,Black Swan
2010,The Fighter
2010,Inception
2010,The King's Speech
2010,Alice in Wonderland
2010,Easy A
2010,The Kids Are All Right
2010,Made in Dagenham
2010,Scott Pilgrim vs. the World
2011,The Descendants
2011,The Girl with the Dragon Tattoo
2011,Hugo
2011,Moneyball
2011,War Horse
2011,The Artist
2011,Bridesmaids
2011,Midnight in Paris
2011,My Week with Marilyn
2011,Young Adult
2012,Argo
2012,Life of Pi
2012,Lincoln
2012,Skyfall
2012,Zero Dark Thirty
2012,Silver Linings Playbook
2012,The Best Exotic Marigold Hotel
2012,Les Misérables
2012,Moonrise Kingdom
2012,Ted
2013,Captain Phillips
2013,12 Years a Slave
2013,Gravity
2013,Her
2013,Saving Mr. Banks
2013,American Hustle
2013,August: Osage County
2013,Inside Llewyn Davis
2013,Nebraska
2013,The Wolf of Wall Street
2014,Boyhood
2014,American Sniper
2014,Gone Girl
2014,The Imitation Game
2014,Nightcrawler
2014,Whiplash
2014,The Grand Budapest Hotel
2014,Birdman or (The Unexpected Virtue of Ignorance)
2014,Guardians of the Galaxy
2014,Into the Woods
2014,Inherent Vice
2015,Mad Max: Fury Road
2015,The Martian
2015,The Revenant
2015,Sicario
2015,Star Wars: The Force Awakens
2015,The Big Short
2015,Ant-Man
2015,Joy
2015,Me and Earl and the Dying Girl
2015,Trainwreck
2016,Arrival
2016,Hacksaw Ridge
2016,Hell or High Water
2016,Manchester by the Sea
2016,Moonlight
2016,La La Land
2016,Deadpool
2016,"Hail, Caesar!"
2016,The Jungle Book
2016,The Lobster
2017,Dunkirk
2017,Blade Runner 2049
2017,Molly's Game
2017,The Post
2017,The Shape of Water
2017,"I, Tonya"
2017,Baby Driver
2017,Get Out
2017,Lady Bird
2017,"Three Billboards Outside Ebbing, Missouri"
2018,Bohemian Rhapsody
2018,BlacKkKlansman
2018,First Man
2018,Roma
2018,A Star Is Born
2018,The Favourite
2018,Crazy Rich Asians
2018,Deadpool 2
2018,Green Book
2018,Vice
2019,Parasite
2019,Ford v Ferrari
2019,The Irishman
2019,Joker
2019,Marriage Story
2019,Jojo Rabbit
2019,Dolemite is My Name
2019,The Farewell
2019,Knives Out
2019,Once Upon a Time in Hollywood
