Year,Film
2010,The Girl with the Dragon Tattoo
2010,I Am Love
2010,Biutiful
2010,Of Gods and Men
2010,The Secret in Their Eyes
2011,The Skin I Live In
2011,Incendies
2011,Pina
2011,Potiche
2011,A Separation
2012,Amour
2012,Headhunters
2012,The Hunt
2012,Rust and Bone
2012,The Intouchables
2013,The Great Beauty
2013,The Act of Killing
2013,Blue Is the Warmest Colour
2013,Metro Manila
2013,Wadjda
2014,Ida
2014,Leviathan
2014,The Lunchbox
2014,Trash
2014,"Two Days, One Night"
2015,Wild Tales
2015,The Assassin
2015,Force Majeure
2015,Theeb
2015,Timbuktu
2016,Son of Saul
2016,Dheepan
2016,Julieta
2016,Mustang
2016,Toni Erdmann
2017,The Handmaiden
2017,Elle
2017,First They Killed My Father
2017,Loveless
2017,The Salesman
2018,Roma
2018,Capernaum
2018,Cold War
2018,Dogman
2018,Shoplifters
2019,Parasite
2019,The Farewell
2019,For Sama
2019,Pain and Glory
2019,Portrait of a Lady on Fire
