Year,Actor,Film
2010,Colin Firth,The King's Speech
2010,Jeff Bridges,True Grit
2010,Robert Duvall,Get Low
2010,Jesse Eisenberg,The Social Network
2010,James Franco,127 Hours
2010,Ryan Gosling,Blue Valentine
2011,George Clooney,The Descendants
2011,Leonardo DiCaprio,J. Edgar
2011,Jean Dujardin,The Artist
2011,Michael Fassbender,Shame
2011,Ryan Gosling,Drive
2011,Brad Pitt,Moneyball
2012,Daniel Day-Lewis,Lincoln
2012,Bradley Cooper,Silver Linings Playbook
2012,John Hawkes,The Sessions
2012,Hugh Jackman,Les Misérables
2012,Joaquin Phoenix,The Master
2012,Denzel Washington,Flight
2013,Matthew McConaughey,Dallas Buyers Club
2013,Christian Bale,American Hustle
2013,Bruce Dern,Nebraska
2013,Chiwetel Ejiofor,12 Years a Slave
2013,Tom Hanks,Captain Phillips
2013,Robert Redford,All Is Lost
2014,Michael Keaton,Birdman or (The Unexpected Virtue of Ignorance)
2014,Benedict Cumberbatch,The Imitation Game
2014,Ralph Fiennes,The Grand Budapest Hotel
2014,Jake Gyllenhaal,Nightcrawler
2014,David Oyelowo,Selma
2014,Eddie Redmayne,The Theory of Everything
2015,Leonardo DiCaprio,The Revenant
2015,Bryan Cranston,Trumbo
2015,Matt Damon,The Martian
2015,Johnny Depp,Black Mass
2015,Michael Fassbender,Steve Jobs
2015,Eddie Redmayne,The Danish Girl
2016,Casey Affleck,Manchester by the Sea
2016,Joel Edgerton,Loving
2016,Andrew Garfield,Hacksaw Ridge
2016,Ryan Gosling,La La Land
2016,Tom Hanks,Sully
2016,Denzel Washington,Fences
2017,Gary Oldman,Darkest Hour
2017,Timothée Chalamet,Call Me by Your Name
2017,Daniel Day-Lewis,Phantom Thread
2017,James Franco,The Disaster Artist
2017,Jake Gyllenhaal,Stronger
2017,Tom Hanks,The Post
2017,Daniel Kaluuya,Get Out
2018,Christian Bale,Vice
2018,Bradley Cooper,A Star Is Born
2018,Willem Dafoe,At Eternity's Gate
2018,Ryan Gosling,First Man
2018,Ethan Hawke,First Reformed
2018,Rami Malek,Bohemian Rhapsody
2018,Viggo Mortensen,Green Book
2019,Joaquin Phoenix,Joker
2019,Antonio Banderas,Pain and Glory
2019,Robert De Niro,The Irishman
2019,Leonardo DiCaprio,Once Upon a Time in Hollywood
2019,Adam Driver,Marriage Story
2019,Eddie Murphy,Dolemite Is My Name
2019,Adam Sandler,Uncut Gems
