Year,Actor,Film
2010,Annette Bening,The Kids Are All Right
2010,Anne Hathaway,Love & Other Drugs
2010,Angelina Jolie,The Tourist
2010,Julianne Moore,The Kids Are All Right
2010,Emma Stone,Easy A
2010,Natalie Portman,Black Swan
2010,Halle Berry,Frankie & Alice
2010,Nicole Kidman,Rabbit Hole
2010,Jennifer Lawrence,Winter's Bone
2010,Michelle Williams,Blue Valentine
2011,Michelle Williams,My Week with Marilyn
2011,Jodie Foster,Carnage
2011,Charlize Theron,Young Adult
2011,Kristen Wiig,Bridesmaids
2011,Kate Winslet,Carnage
2011,Meryl Streep,The Iron Lady
2011,Glenn Close,Albert Nobbs
2011,Viola Davis,The Help
2011,Rooney Mara,The Girl with the Dragon Tattoo
2011,Tilda Swinton,We Need to Talk About Kevin
2012,Jennifer Lawrence,Silver Linings Playbook
2012,Emily Blunt,Salmon Fishing in the Yemen
2012,Judi Dench,The Best Exotic Marigold Hotel
2012,Maggie Smith,Quartet
2012,Meryl Streep,Hope Springs
2012,Jessica Chastain,Zero Dark Thirty
2012,Marion Cotillard,Rust and Bone
2012,Helen Mirren,Hitchcock
2012,Naomi Watts,The Impossible
2012,Rachel Weisz,The Deep Blue Sea
2013,Amy Adams,American Hustle
2013,Julie Delpy,Before Midnight
2013,Greta Gerwig,Frances Ha
2013,Julia Louis-Dreyfus,Enough Said
2013,Meryl Streep,August: Osage County
2013,Cate Blanchett,Blue Jasmine
2013,Sandra Bullock,Gravity
2013,Judi Dench,Philomena
2013,Emma Thompson,Saving Mr. Banks
2013,Kate Winslet,Labor Day
2014,Amy Adams,Big Eyes
2014,Emily Blunt,Into the Woods
2014,Helen Mirren,The Hundred-Foot Journey
2014,Julianne Moore,Maps to the Stars
2014,Quvenzhané Wallis,Annie
2014,Julianne Moore,Still Alice
2014,Jennifer Aniston,Cake
2014,Felicity Jones,The Theory of Everything
2014,Rosamund Pike,Gone Girl
2014,Reese Witherspoon,Wild
2015,Jennifer Lawrence,Joy
2015,Melissa McCarthy,Spy
2015,Amy Schumer,Trainwreck
2015,Maggie Smith,The Lady in the Van
2015,Lily Tomlin,Grandma
2015,Brie Larson,Room
2015,Cate Blanchett,Carol
2015,Rooney Mara,Carol
2015,Saoirse Ronan,Brooklyn
2015,Alicia Vikander,The Danish Girl
2016,Emma Stone,La La Land
2016,Annette Bening,20th Century Women
2016,Lily Collins,Rules Don't Apply
2016,Hailee Steinfeld,The Edge of Seventeen
2016,Meryl Streep,Florence Foster Jenkins
2016,Isabelle Huppert,Elle
2016,Amy Adams,Arrival
2016,Jessica Chastain,Miss Sloane
2016,Ruth Negga,Loving
2016,Natalie Portman,Jackie
2017,Saoirse Ronan,Lady Bird
2017,Judi Dench,Victoria & Abdul
2017,Helen Mirren,The Leisure Seeker
2017,Margot Robbie,"I, Tonya"
2017,Emma Stone,Battle of the Sexes
2017,Frances McDormand,"Three Billboards Outside Ebbing, Missouri"
2017,Jessica Chastain,Molly's Game
2017,Sally Hawkins,The Shape of Water
2017,Meryl Streep,The Post
2017,Michelle Williams,All the Money in the World
2018,Olivia Colman,The Favourite
2018,Emily Blunt,Mary Poppins Returns
2018,Elsie Fisher,Eighth Grade
2018,Charlize Theron,Tully
2018,Constance Wu,Crazy Rich Asians
2018,Glenn Close,The Wife
2018,Lady Gaga,A Star Is Born
2018,Nicole Kidman,Destroyer
2018,Melissa McCarthy,Can You Ever Forgive Me?
2018,Rosamund Pike,A Private War
2019,Awkwafina,The Farewell
2019,Ana de Armas,Knives Out
2019,Cate Blanchett,"Where'd You Go, Bernadette"
2019,Beanie Feldstein,Booksmart
2019,Emma Thompson,Late Night
2019,Renée Zellweger,Judy
2019,Cynthia Erivo,Harriet
2019,Scarlett Johansson,Marriage Story
2019,Saoirse Ronan,Little Women
2019,Charlize Theron,Bombshell
