Year,Actor,Film
2010,Natalie Portman ,Black Swan
2010,Annette Bening,The Kids Are All Right
2010,Nicole Kidman,Rabbit Hole
2010,Jennifer Lawrence,Winter's Bone
2010,Michelle Williams,Blue Valentine
2011,Meryl Streep ,The Iron Lady
2011,Glenn Close,Albert Nobbs
2011,Viola Davis,The Help
2011,Rooney Mara,The Girl with the Dragon Tattoo
2011,Michelle Williams,My Week with Marilyn
2012,Jennifer Lawrence ,Silver Linings Playbook
2012,Jessica Chastain,Zero Dark Thirty
2012,Emmanuelle Riva,Amour
2012,Quvenzhané Wallis,Beasts of the Southern Wild
2012,Naomi Watts,The Impossible
2013,Cate Blanchett ,Blue Jasmine
2013,Amy Adams,American Hustle
2013,Sandra Bullock,Gravity
2013,Judi Dench,Philomena
2013,Meryl Streep,August: Osage County
2014,Julianne Moore ,Still Alice
2014,Marion Cotillard,"Two Days, One Night"
2014,Felicity Jones,The Theory of Everything
2014,Rosamund Pike,Gone Girl
2014,Reese Witherspoon,Wild
2015,Brie Larson ,Room
2015,Cate Blanchett,Carol
2015,Jennifer Lawrence,Joy
2015,Charlotte Rampling,45 Years
2015,Saoirse Ronan,Brooklyn
2016,Emma Stone ,La La Land
2016,Isabelle Huppert,Elle
2016,Ruth Negga,Loving
2016,Natalie Portman,Jackie
2016,Meryl Streep,Florence Foster Jenkins
2017,Frances McDormand ,"Three Billboards Outside Ebbing, Missouri"
2017,Sally Hawkins,The Shape of Water
2017,Margot Robbie,"I, Tonya"
2017,Saoirse Ronan,Lady Bird
2017,Meryl Streep,The Post
2018,Olivia Colman ,The Favourite
2018,Yalitza Aparicio,Roma
2018,Glenn Close,The Wife
2018,Lady Gaga,A Star Is Born
2018,Melissa McCarthy,Can You Ever Forgive Me?
2019,Renée Zellweger ,Judy
2019,Cynthia Erivo,Harriet
2019,Scarlett Johansson,Marriage Story
2019,Saoirse Ronan,Little Women
2019,Charlize Theron,Bombshell
