Year,Film
2010,The Wolfman
2010,Barney's Version
2010,The Way Back
2011,The Iron Lady
2011,Albert Nobbs
2011,Harry Potter and the Deathly Hallows - Part 2
2012,Les Misérables
2012,Hitchcock
2012,The Hobbit: An Unexpected Journey
2013,Dallas Buyers Club
2013,Jackass Presents: Bad Grandpa
2013,The Lone Ranger
2014,The Grand Budapest Hotel
2014,Foxcatcher
2014,Guardians of the Galaxy
2015,Mad Max: Fury Road
2015,The 100-Year-Old Man Who Climbed Out of the Window and Disappeared
2015,The Revenant
2016,Suicide Squad
2016,A Man Called Ove
2016,Star Trek Beyond
2017,Darkest Hour
2017,Victoria & Abdul
2017,Wonder
2018,Vice
2018,Border
2018,Mary Queen of Scots
2019,Bombshell
2019,Joker
2019,Judy
2019,Maleficent: Mistress of Evil
2019,1917
