Year,Film
2010,The King's Speech
2010,The Kids Are All Right
2010,The Fighter
2010,Black Swan
2010,Another Year
2010,Inception
2011,Midnight in Paris
2011,Young Adult
2011,The Artist
2011,Win Win
2011,50/50
2012,Django Unchained
2012,The Master
2012,Moonrise Kingdom
2012,Zero Dark Thirty
2012,Flight
2012,Looper
2013,Her
2013,Blue Jasmine
2013,Inside Llewyn Davis
2013,Nebraska
2013,American Hustle
2014,Birdman or (The Unexpected Virtue of Ignorance)
2014,The Grand Budapest Hotel
2014,Whiplash
2014,Nightcrawler
2014,Boyhood
2015,Spotlight
2015,Bridge of Spies
2015,Inside Out
2015,Ex Machina
2015,The Hateful Eight
2016,La La Land
2016,Manchester by the Sea
2016,Moonlight
2016,The Lobster
2016,Loving
2016,Hell or High Water
2017,Get Out
2017,The Shape of Water
2017,Lady Bird
2017,The Big Sick
2017,The Post
2017,"Three Billboards Outside Ebbing, Missouri"
2018,First Reformed
2018,Eighth Grade
2018,Roma
2018,The Favourite
2018,Vice
2018,Green Book
2018,A Quiet Place
2019,Once Upon a Time in Hollywood
2019,Marriage Story
2019,Parasite
2019,Knives Out
2019,The Farewell
2020,Promising Young Woman
2020,Minari
2020,Mank
2020,Never Rarely Sometimes Always
2020,Sound of Metal
2020,The Trial of the Chicago 7
