Year,Film
2010,Inception
2010,Alice in Wonderland
2010,Harry Potter and the Deathly Hallows - Part 1
2010,Iron Man 2
2010,Tron: Legacy
2010,Hereafter
2010,Black Swan
2010,Green Zone
2010,Robin Hood
2010,Salt
2011,Rise of the Planet of the Apes
2011,Captain America: The First Avenger
2011,Harry Potter and the Deathly Hallows - Part 2
2011,Pirates of the Caribbean: On Stranger Tides
2011,Transformers: Dark of the Moon
2011,Hugo
2011,Anonymous
2011,Sherlock Holmes: A Game of Shadows
2011,Source Code
2011,War Horse
2012,Life of Pi
2012,The Avengers
2012,Battleship
2012,The Hobbit: An Unexpected Journey
2012,Prometheus
2012,The Impossible
2012,Argo
2012,Flight
2012,Rust and Bone
2012,Zero Dark Thirty
2013,Gravity
2013,The Hobbit: The Desolation of Smaug
2013,Iron Man 3
2013,Pacific Rim
2013,Star Trek Into Darkness
2013,The Lone Ranger
2013,The Great Gatsby
2013,Rush
2013,The Secret Life of Walter Mitty
2013,White House Down
2013,The Wolf of Wall Street
2014,Dawn of the Planet of the Apes
2014,Guardians of the Galaxy
2014,The Hobbit: The Battle of the Five Armies
2014,Interstellar
2014,Maleficent
2014,X-Men: Days of Future Past
2014,Birdman or (The Unexpected Virtue of Ignorance)
2014,Divergent
2014,The Grand Budapest Hotel
2014,The Imitation Game
2014,Unbroken
2015,Star Wars: The Force Awakens
2015,Furious 7
2015,Mad Max: Fury Road
2015,The Martian
2015,San Andreas
2015,The Revenant
2015,Bridge of Spies
2015,Everest
2015,In the Heart of the Sea
2015,The Walk
2016,The Jungle Book
2016,Doctor Strange
2016,Fantastic Beasts and Where to Find Them
2016,Miss Peregrine's Home for Peculiar Children
2016,Rogue One: A Star Wars Story
2016,Deepwater Horizon
2016,Allied
2016,Jason Bourne
2016,Silence
2016,Sully
2017,War for the Planet of the Apes
2017,Blade Runner 2049
2017,Guardians of the Galaxy Vol. 2
2017,Kong: Skull Island
2017,Star Wars: The Last Jedi
2017,Dunkirk
2017,Darkest Hour
2017,Downsizing
2017,Mother!
2017,Only the Brave
2018,Avengers: Infinity War
2018,Christopher Robin
2018,Ready Player One
2018,Solo: A Star Wars Story
2018,Welcome to Marwen
2018,First Man
2018,12 Strong
2018,Bird Box
2018,Bohemian Rhapsody
2018,Outlaw King
2019,The Lion King
2019,Alita: Battle Angel
2019,Avengers: Endgame
2019,Gemini Man
2019,Star Wars: The Rise of Skywalker
2019,The Irishman
2019,1917
2019,The Aeronauts
2019,Ford v Ferrari
2019,Joker
